"","","comment"
"1.0","","亲们！！公 总~号搜： 米八八，再去买，便宜了 狠多，价格很理想！！！宝贝质量很不错，喜欢，产品描述和实物一致。真是物美价廉，发货速度非常快，物流也很快，第二天就到了，包装很漂亮，客服服务态度很好，详细的解答了我的问题，这是最满意的一次购物，卖家很好，下次还要来买！会推荐给朋友过来买！11.24"
"1.0","","你们看到这条评论的时候，你们要知道我的评论是复制粘贴的，因为我是一个超级喜欢网购的人，自己用的，家人用的都是在网上买的，每天几乎都要收包裹，而且每个包裹里面的东西都不一样，挨个评论会比较麻烦，所以只好复制粘贴，不过你们放心，但凡我复制粘贴这段话的商品都是我认为非常不错的!/：^_^/：^_^/：^_^/：^_^值得购买"
"1.0","1.0","此用户没有填写评论!"
"1.0","","这是一个好评模版，因为本仙女很懒，不想每个产品一个一个去写好评，所以特地模仿一个淘友的模式，但是这产品无论是质量还是外形肯定都是本仙女喜欢的，如果不喜欢本仙女会很生气，然后这个模版肯定是差评模版了!自然这个肯定是好评模版了，这里写一下也给每个淘友一个参考，这产品还是很值得购买的!来自一个懒惰不想写评论却想要积分的小仙女"
"1.0","1.0","今日是一个我永生难忘的日子!我收到了衣服,衣服散发着耀眼的光芒,我立马穿着出去买菜,吸引了所有人的围观!几个小混混拿着砍刀逼我交出衣服!我当然不给,如此帅气的衣服,我肯定拿出性命保护,双拳难敌四手,我被打进了医院,我醒来一看!我的衣服已经被抢走了!我紧紧的攥着拳头留下了愤怒的泪水"
"","","衣服样子很好看，不适合打底穿，胸口图案拼接处不平，"
"","","我的天   店铺品论都是请的水军   衣服超级差   一拿到手  就像摸泡沫一样 最主要是穿着特别不舒服 穿着遭罪！看看衣服里面怎么缝的就知道了！粗制滥造，才拿到手丟  垃圾桶了！退不了货！"
"","","没见过如此差的！黑心坑爹店铺！买了就知道   谁买谁知道！"
"","","刚收到货，不知道里面贴双面胶起什么作用？"
"","","别买！别买！！千万别买！！！"
"","","款式很喜欢，面料光滑，应该很透气，码数合适，衣服前面是刺绣的，机洗的话记得把衣服背面的刺绣的纸拿出来。恩。推荐买"
"1.0","1.0","此用户没有填写评论!"
"1.0","","亲们！！公 总~号搜： 好七七，再去买，便宜了 狠多，价格很理想！！！宝贝质量很不错，喜欢，产品描述和实物一致。真是物美价廉，发货速度非常快，物流也很快，第二天就到了，包装很漂亮，客服服务态度很好，详细的解答了我的问题，这是最满意的一次购物，卖家很好，下次还要来买！会推荐给朋友过来买AAA！！！（2018.10.28）"
"","","穿着很不舒服，本来是买便宜货上班穿的，还是不舒服，线疙瘩搞得难受想里面穿一件薄体恤也没用，领口挡不到。下面的就不用看了吗我们一起加油！！刚下班吗我们一起努力学习了吧！我要不就说你是不是觉得他应该在一起玩吗好的人吗哦我在干嘛呀妈呀？你不要这样嘛我要不就明天我去接你电话打不通你电话给我发过来呗嗯我现在去上班吗好的好的人是你啊我现在都不知道怎么・_・?"
"","","这个衣服太差了，像纸皮一样硬。全是晴纶的身上穿起不贴身，滑的。大家不要买了。不知道怎么有这么多的好评，我一般都不给差评的这次必须给。"
"","","太差了硬邦邦的像纸皮一样。一点都不塌身穿在身上打咣。大家不要买"
"","","很一般  建议不要买  买的白衣服  领子上有黑色污点 做工也一般到处线头  毕竟价格在那呢  天气不好好一直下雨 懒得退换啦"
"","","我前天买的29块9的都比你这个厚，这个就像那种秋天的长衣服一样，里面就黏的那种绒毛，下面拍了照片，自己看看，有点失望，如果天气不冷的话这个还是可以考虑接受，我这里是广东，扛不住😂😂😂"
"1.0","1.0","此用户没有填写评论!"
"1.0","","搜这个 薇=ィ 訁 P K 4 6 4 3 领 卷 伴 介 买的!真是太划算了。。。。质量好,很喜欢。很便宜,样子也好看,非常喜欢。卖家发货快,物流速度。以后可能会回购的,要把蓝色的也买回来,啦啦啦。超值超值的,发圈弹性也很好。即使便宜,也要用心敷衍吧,取到快递。卖家发货快，物流速度，上身效果很好,东西很好,价美物廉,物流也很快,包装的也很严实,收到迫不及待的打开了,真的不错,质量也不错,衣衣很软、很舒服,形也不错,真的喜欢,颜色也很好看。☺☺没有多于线头，版型正 上身效果好看，容易搭配上衣和裤子，价钱还实惠，可以说是物美价廉的，包装也不错，一看就是正品。"
"","","买的薄款，款式是自己喜欢的。与卖家描述的完全一致，卫衣款式新颖，布质柔软，做工精细，穿上修身舒适，并且很有时尚感，很满意。"
"","","东西挺好的！就是衣服上有一块胶！穿着也挺舒服大小合身！"
"","1.0","不错不错(๑&ordm;ั╰╯&ordm;ั๑)每周都买，根本停不下来就是价格实惠啊😄，ฅ(♡ơ&nbsp;₃ơ)ฅ不过最近几个月发的日期不是很好，包装也简化不少，克碰的情况比较多。"
"","","虽然一分钱一分货，但是也不能这样呀，开线缝了，而且里面那线条老烦人了，穿着不舒服"
"","","刚拿回来就这逼德行了，快递袋子烂成狗，衣服也有一点坏了。穿上薄的很秋衣一样，差评"
"","","非常非常贴身,料子穿着非常舒服,不像别的衣服有种拼接感觉,穿着不舒服,非常的物有所值,建议你们购买"
"1.0","","我是我们村第一个在网上上买东西的人。这里大部分人是不网购的。他们买东西价格一般不超过五块，听说我在网上买东西后，整个村都震惊了，村长跑到我家里对我爸说我是不是疯了? 说这日子没法过了，让我出去租房子住，面对重重压力，我坚持要买。我相信我这个月的工资不会白花，终于快递我怀揣着激动的"
"1.0","","宝宝们！！！半,价入手滴！公～总～号 ：【真满意】再买，便宜了一半！！超级好！！！东西很好，价美物廉，质量杠杠滴，试穿了一下，舒适，于是就又买了一件，大小合适，样式也蛮喜欢的。身高170体重75公斤这个码很合适，颜色好看。衣服上身很好看，尺寸刚好，觉得好看，才买的，客服推荐的尺码穿上也特别的合适，我比较喜欢简单大方的衣服，上身效果也不错回复也很快，我问了不少问题，物流也比较快，衣服的面料比较柔软穿上很舒服，衣服面料好，物流也挺快的，也要用心敷衍吧，取到快递，客服服务态度好，衣服料子很好，"
"","","质量真心不咋滴，衣服也不贴身，试穿了一下后背腰到肩有一褶，很不舒服。还有几处线没压上。应该都是做工师傅的问题。本来想要退的。标签摘了就算了，三四十块的东西就丢了算了。"
"","","布料摸着很舒服，特别暖和，感觉天气再冷冷冬天穿内衬都没问题，泡在水里没有褪色，而且服务态度很好东西不错，客服服务热情蛮好用的，不光是包装还是质量都挺好的，如果质量不好我是不会给好评的.下次还会来购买颜色和图案特别逼真鲜艳，特别好看，而且穿上去很舒服，纯棉的，一点皱纹也没有，面料柔软舒适推荐微胖的人买，既好看又可以稍微显瘦，喜欢到飞起走过路过的不要错过呀。衣服确实好，是加绒的，摸着挺厚实，手感也不错，试穿了一下，衣服袖子长短正好，洗了一下没有掉色，里面的绒还可以，无气味没有多余线头，做工精细，质量超级好，同样价位的衣服，这家店的布料就远超其他好多店，是一款值得入手的宝贝，尺码标准，大小合适，已被圈粉，好评好评，经济实惠，物流也是超级快，发货速度也很快，客服特别热心，态度也好，耐心解决我的问题，可以说是非常喜欢了。很开心，以后还会再来。"
"1.0","","说实话这件衣服质量真的蛮好，价格实惠，没有线头，质量不错，很实惠，性价比高，和描述的一样，物流速度快，客服服务态度好，衣服料子很好，面料很舒服，款式穿起来也还可以，大小合适，，穿出去帅呆了，没想到这么优惠的价格买到这么好的衣服，也很合身，，穿起来很帅呢，比较百搭,最好的是整体很透气。这个好评必须大大的有！非常满意,真的很喜欢，完全超出期望值，大家意想不到吧！宝贝真的是特别的好！比其他家的同款都要好很多衣服不错，拿回来就穿上了，超级显年轻，码数标准，物流也很快，主要布料柔软穿着挺舒服，以后有需要还会回购的这款衣服款式好看，质量也不错，穿着也很舒服，喜欢的亲们赶紧购买吧过了这个村就没有这个店了物美价廉，料子很舒服，码数很正！挺合身的，价格低，样式挺好。与商家描述的一样。态度好，发货快。"
"","","衣服非常显瘦，很喜欢，价格很便宜实惠没有让我失望.客服特别热心，回复的也很快，态度也好，耐心解决我的问题。发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，挺好的，到货也很快，价格便宜，也没线头什么的，而且也没有什么难闻的味道！ 衣服面料非常好！穿起来很舒服，纯棉的，穿在身上很合身，号码很正规，下次还会光顾的"
"","","物美价廉，习惯性给好评。本来这个价格没抱很大希望，收到时候发现质量出乎意料的好，和图片描述的一样，超级划算，性价比也很高，六星好评，多一星不怕你骄傲!还在犹豫的朋友赶快下手，良心推荐！真的很好，很喜欢，性价比比较高，质量也好，在别的地方看很贵，在这看，还可以，出乎意料，以后还在这家卖，也推荐给朋友了。店家态度好，不懂的都会细心回复，第一次在淘宝上卖的这么质量又好有实惠的东西，现在推荐给了朋友，好东西，自然买的人多"
"","","上身效果感觉还行，虽然和图上的很大差距。。。这个绒还挺厚。建议大家买大一码"
"","","衣服收到了看着还是蛮漂亮的前天买的时候还挺凉爽的昨天就降温了早知道就该买加绒的了"
"","","不错哦，买回来时还觉得可能太薄，事实证明，是我想多了，穿上很暖和，还很舒服，可能还会再买个加绒加厚的，好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评"
"","","哎呀，一分钱一分货，这衣服只能说也就这样了，第四张图肩膀线没砸好，拼接款这后背实在是不舒服感觉后背有东西顶着（看图五）。"
"","","买来打底穿的。码数合适，有绒穿着舒服，暖和。第一次下水轻微褪色。能接收，推荐推荐"
"","","东西收到以后马上查看，发现与图片描述一致，超级喜欢，卖家发货速度很快，服务也很到位，给老板点个赞，下次还会来购买，二话不说，店家服务态度很好，发货神速物流给力，这家店非常优秀，客服说话老好听了。大家多多给予支持，我在此谢谢店家，能穿到这么物美价廉的衣服。买的值，"
"","","这么大个洞寄的时候会看不见？ 谁信？找客服第一句话说给我五块钱红包找个裁缝、这是代表寄来时就知道破破衣服？佛了，懒得寄回去。"
"","","烂的要死 还容易起球"
"","","宝贝衣衣很棒，没有异味，下水不褪色，尺码标准，不厚，感觉很好"
"","","第一次在这家店买，尺寸刚刚好，是很贴身的，尺码标准，收到货了😊衣服很好面料很好，早穿上了，加绒的还挺暖和的，没见到实物，质量挺好，质量真心不错，穿着也舒服，买的XL，物流也比较快，宝贝质量很不错，质量还算可以，价格也还行。第一次在这家店买，店家服务很好。穿上也会觉得很时尚。非常满意的一次购物。感觉还行，尺寸刚刚好，不掉色，舒适感一般 在这个价位来说，可以说是很好很值得的了，如果喜欢的话就赶快入手吧，另外提一下，物流我感觉还是比较满意的，很快的哦，反正总的来说各方面都还是不错的哦。"
"","","很暖和，很舒服，冬天穿一点都不会觉得冷的，保暖衣，很加厚呢，给老公买的，他说喜欢，图片和实物差不多，黑色适合他，这个款式也很不错，我看这家销量卖的也好，质量我相信也会不错的，看这个价位就摆在这里，真心不贵，上身效果很显瘦，修身，刚好合适。哈哈，以为便宜就没好货的，这个想法不对，便宜也有好货的呢。"
"","","单衣服不错，布料也可以，穿起来很帅气，就是要是贴身穿，这玩意老刺人，特烦，基本所有衣服有这衣服明显点"
"0.0","1.0","挺好的和图片一样和团队采访了107个家庭、翻遍近几十年美国社会的各种统计资料后，帕特南得出了一个残酷的结论：在美国，阶层流动几近停顿，穷人再努力，也是出头无望。  情形有多严重呢？我们可以从一个侧面感受下"
"","","东西今天收到了，外包装没有损坏，拿回家就马上拆开看了一下，实物和图片一样没有色差，质量也很好。客服态度很好回复很快有问必答！赞一个。快递物流发货也快。推荐大家在这家店购买。东西便宜性价比高，下次有需要还会再来购买，祝掌柜生意兴隆！五星好评。"
"","","质量很好 很舒服 尺码合适 实惠 精细 穿着很合身，手感很好，无色差，做工仔细，看起来很高档，东西质量很不错，产品描述和实物一致，很满意，质量也很好，非常的划算！卖家的服务态度很好，下次还要来买！会推荐给朋"
"","","衣服质量很不错，摸起来挺柔软、舒适的，大小也刚刚好~包装、物流也相当给力~赞~以后有需要会多来~ 赞~"
"","","里面的衣服穿着还可以，又便宜又实惠，机会不要错过哦要买的抓紧点。"
"","","差不多吧，加的绒质量不是很好，也不是很软 下面是胡言乱语 挂号信还能在哪想你想你盛况空前哦群殴i无恶有人要德国之声男学开车两公婆佛好自己的那些机场快线看着你走好想好想你打你电话喜欢的好想好好电脑手机世界小姐发酒疯呢想好好的吧想你想你下决心开心开心教学能手慢慢安安谁不喜欢死气死i的"
"","","样式可以，布料也可以，美中不足的是贴身穿着不舒服了，感觉隔得晃，其它都很好。"
"","","衣服买加绒款，感觉质量不太好，还薄，凑合穿吧"
"","","衣服很合身尺寸刚好，布料不错有弹性颜色与原图无差别穿着舒适。"
"","","衣服是真的好看.纯色的非常百搭。不显胖显瘦。物美价廉。价格很实惠，布料很舒服，，就算现在这个季节穿也不会觉得很闷。手感很好，穿着很合身，上身效果好，挺厚实。无色差，做エ厚实仔细，做工扎实，收到试了蛮好，过水不褪色，包装很齐，这款的做エ很不错 让我非常满意的一次购物。宝贝正是我想要的款式。宝贝包装完整。非常快的送到我手里。颜色显得人干净。搭外套穿很暖和。质量好还不贵。小伙伴们都喜欢。还吵我要了链接。同款。没有色差。下水也不变形。推荐"
"","","拿到衣服很满意，刚好合身，没有让我失望，这个价钱买到这样的衣服已经很划算了衣服很好，很漂亮，质量也好，穿起来很舒服谢谢，这么实惠的衣服好穿又暖和，面料柔软 大小合适 穿着非常舒服衣服很好看，穿了很合适哦衣服质量不错，穿着也好看，价格便宜，卖家人很好发货很快，质量很好，摸起来质感很舒服，款式也不错。总之物美价廉，棒棒哒，今天收到感觉不错，材质摸起来舒服而且价格实惠"
"","","衣服质量很好，大小合适，保暖，穿着舒适，好评好评！"
"","","衣服质量很差，刮皮肤的！！！"
"","","面料穿着舒服感觉一般   还进风   冷得要S    跟穿短袖衣一样  线都发了   感觉还被人穿过了    拆开袋子牌子就直接掉地上   便宜货没有好家伙  介意大家去其他店买好一点的！"
"","","面料舒适度：说实话这件衣服质量真的蛮好，价格实惠，没有线头，质量不错，很实惠，性价比高，和描述的一样，物流速度快，客服服务态度好，衣服料子很好，面料很舒服，款式穿起来也还可以，大小合适。"
"","","衣服收到，面料不错，做工喜欢。就是买大了，不过总体满意。全好评。下次还会来购买。"
"","","打底衫不错，面料摸着柔软光滑，质量挺好的，厚薄适中，款式漂亮，满意"
"","","好久没有认真做过评价了，这次不得不吐槽一下。首先买这个衣服就是冲着公益宝贝买的，价钱也就三十十块钱，没打算买到很好的质量，衣服收到以后也没拆包装，就在那放着，今天才穿上试了一下以下几点问题。1：没弹性，往身上穿的时候都怕撑破了。2：做工差，针眼什么的都露着。3：所谓的加绒加厚我算是体会到了。手机问题，再加上光线不是太好，袖头那里针眼一排很清晰，左右都是。好了毕竟几十块的东西不吐槽那么多了。"
"","","买了好几件，黑色的质量会好点，不太会起球，其他的洗一次就起球了"
"","","便宜没好货，有黑色斑点，洗了还洗不掉，洗了又没法退，差评"
"","","宝贝和描述的一样，很不错，本来在网上买没多大信心，可是真的收到了惊喜，很不错呢！是正品，样式很好看，穿起来很舒服  很洋气  很愉快的一次网购呢"
"","","衣服收到了感觉挺厚的，老公很喜欢的，物有所值啦非常满意的一次购物"
"","","我买的薄款，老公还没回来，穿上应该不错，一直没有穿过这个颜色，每次买都是黑色，想给他换个颜色看看，拿到货很不错，价位合适，太值了&hellip;&hellip;"
"","","双十一买的，现在才来评价。😂期间穿过几天很暖和很舒适，轻便不臃肿。满足保暖，时尚，修身各种需求。这个冬天你值得拥有！！！"
"","","衣服不错，拿回来就穿上了，超级显年轻，码数标准，物流也很快，主要布料柔软穿着挺舒服，以后有需要还会回购的这款衣服款式好看，质量也不错，穿着也很舒服，喜欢的亲们赶紧购买吧过了这个村就没有这个店了物美价廉，料子很舒服，码数很正！挺合身的，价格低，样式挺好。与商家描述的一样。态度好，发货快。衣服质量对的起这个价，还是加绒的，试穿了一下挺好看的衣服料好，经济实惠！合身！好棒！尺码合适非常标准，衣服非常漂亮， 物流一样很快，非常赞"
"1.0","","我是+威信 6556457 领卷买的！相当划算！！！我居然只用了3.9 ！！就卖到 了！！！尺码合适非常标准，衣服非常漂亮， 物流一样很快"
"","","先开始买的时候是抱着试试看的心态买的，谁知道到货了非常满意。质量很不错，很喜欢。穿着很舒服，尺寸也很标准。"
"","","这宝贝质量还是不错，到手一穿的穿着舒服，这价钱比实体店便宜多了，有需要再来"
"","","这款保暖衣超适合夏天穿 袖子图案颜色很秀   整体这款衣服适合表演小丑  不错"
"","","上身效果真的很棒，而且最主要的是很有质感。还会再来回购的。"
"","","呵呵了 就这件衣服 和原物那tama相符了 刺绣贼jiba丑 还有这个袖子 你给大妈穿呢。？啊 服了 货物运输还贼差 不给我送货 让我自己去取 这是买这么多衣服见过最差的一件 没有之一 要不是最差就是一星 不然我连一星都不想给 差评。！！！！！"
"","","衣服资量不错，就码数太差了，本来就买大一码，还是偏小，，太紧了"
"","","第一次网购买衣服，总担心穿着不合适。上身效果自我感觉还行😁就是衣袖装饰条和购物图不太一样。色差有点差别。还能接受，继续关注一下"
"","","材料超级好，穿起来很暖"
